mean,std,rms,peak_to_peak,crest_factor,kurtosis,skewness,bearing,batch,speed,force,fault
-0.0024868109999999994,0.19244074417660217,0.19245681138425358,4.5964,17.849199388123402,121.71521038815403,-6.475838234626485,NU204_E_metal_b,7,1000,1,IR
-0.0030545792500000007,0.06882822307604812,0.06889597046417717,0.80296,5.984965408309305,7.492813639461353,-0.5463941724585064,NU204_E_metal_b,7,1000,1,IR
-0.00139342535,0.17508320956930076,0.1750887543713008,3.4008000000000003,12.333173582471682,53.45546904790066,-3.018991978205731,NU204_E_metal_b,7,1000,1,IR
-0.00149933835,0.06454698593921362,0.06456439738218596,0.93703,8.04669478946216,8.634388740013486,-0.11283397620765306,NU204_E_metal_b,7,1000,1,IR
-0.0018225312500000004,0.188585457912773,0.1885942643781287,3.6052999999999997,11.254318931695712,50.98340411128593,-2.8785872799617973,NU204_E_metal_b,7,1000,1,IR
-0.0017455004000000004,0.07858144995639492,0.07860083363995449,1.5667200000000001,11.75636386037362,30.032946749292663,1.0292867797723115,NU204_E_metal_b,7,1000,1,IR
-0.0012386418500000003,0.1753184803055973,0.17532285581263124,3.8781,14.685478331197158,72.89389518997461,-4.022159832265731,NU204_E_metal_b,7,1000,1,IR
-0.0024657802999999996,0.07825642870562717,0.07829526618031754,1.14141,8.81483688184328,21.63161242570296,-1.950601025500913,NU204_E_metal_b,7,1000,1,IR
-0.0013255788499999994,0.1975801650039281,0.1975846116535066,4.2019,13.885696750571356,65.9448259508368,-3.50379239205656,NU204_E_metal_b,7,1000,1,IR
-0.0006629307499999992,0.07820452062649477,0.07820733036997966,1.26969,8.13747249764569,18.797380027987415,0.4125980931269188,NU204_E_metal_b,7,1000,1,IR
-0.0028033674499999997,0.20960680118620945,0.20962554704180228,4.1608,13.09477799217196,61.7559107223539,-4.323557264808232,NU204_E_metal_b,7,1000,1,IR
-0.0010817163999999994,0.0712249001210284,0.07123311384195205,1.05484,8.51078897582819,13.474608310459722,0.8321300718859362,NU204_E_metal_b,7,1000,1,IR
-0.0031560140499999998,0.18011544116420017,0.1801430891554218,4.2946,16.531303054488397,96.95149714896537,-5.525339932141437,NU204_E_metal_b,8,1000,1,IR
-0.0009337084499999993,0.09088067427988393,0.09088547061569278,1.44718,9.221716016017258,28.064306607199914,-1.3792897365303123,NU204_E_metal_b,8,1000,1,IR
-0.0029413275999999994,0.1809308039802686,0.18095471045816103,3.8282,13.054647729362054,67.5054078904214,-3.6007087987542863,NU204_E_metal_b,8,1000,1,IR
-0.0025023139500000005,0.08400375249209804,0.0840410138435873,1.24515,7.979675271982352,20.233347258879384,-1.0186098383056958,NU204_E_metal_b,8,1000,1,IR
-0.0033497897000000004,0.17146102607057526,0.17149374493610176,3.676,13.43081055730753,72.63331871967941,-4.745911583802369,NU204_E_metal_b,8,1000,1,IR
-0.0009509186499999997,0.08965373872116185,0.08965878157192006,1.45969,8.344191019369198,20.75984729738666,0.27827594088841573,NU204_E_metal_b,8,1000,1,IR
-0.0041450472000000025,0.17589070027713663,0.17593953467106743,3.7279,13.912165930051849,87.87707050091217,-5.711067449842874,NU204_E_metal_b,8,1000,1,IR
-0.0017218852500000006,0.06383703314684804,0.06386025125072671,0.73265,6.672225549616065,5.757449985948215,-0.5275544574085291,NU204_E_metal_b,8,1000,1,IR
-0.002169764999999999,0.15777237844238623,0.15778729758609455,3.2167,12.772257531696289,61.55057989258863,-3.5544554851947376,NU204_E_metal_b,8,1000,1,IR
-0.00150006145,0.08594912560920065,0.08596221482337416,1.2790599999999999,10.242523436711052,23.490947175479377,2.211115180431703,NU204_E_metal_b,8,1000,1,IR
-0.0008544048999999996,0.17813979989445414,0.1781418488569413,3.8822,14.227426156530784,87.54259637408724,-5.017765815574326,NU204_E_metal_b,8,1000,1,IR
-0.0005883292999999998,0.09866757505761348,0.09866932906995478,2.03954,11.525364677343104,48.26098853916171,-1.450531305960487,NU204_E_metal_b,8,1000,1,IR
-0.001893565500000001,0.15759701483005673,0.15760839023874307,3.1582999999999997,12.295030721807683,57.19662356491047,-2.961863793444325,NU204_E_metal_b,8,1000,1,IR
-0.0040291643,0.21528581248206508,0.21532351293116894,3.6314,10.329108835926169,35.69195691232237,-2.579604863374561,NU204_E_metal_b,8,1000,1,IR
-0.0029504655499999993,0.11704697368829046,0.11708415476292724,2.05857,11.181700911202515,38.04340574864945,-2.3019812430996125,NU204_E_metal_b,8,1000,1,IR
-0.0012684111000000001,0.13923297154968792,0.13923874903659111,3.0366,12.666014397590835,60.583039709022955,-2.438798054828673,NU204_E_metal_b,9,1000,1,IR
